difficulty,first_error,from_state,to_state,sessions,ac_sessions,ac_rate
E,Compile Error,Runtime Error,Runtime Error,224,115,0.51339
E,Compile Error,Runtime Error,Compile Error,63,33,0.52381
E,Compile Error,Compile Error,Compile Error,881,536,0.6084
E,Compile Error,Runtime Error,Wrong Answer,196,124,0.63265
E,Compile Error,Wrong Answer,Runtime Error,107,63,0.58879
E,Compile Error,Wrong Answer,Wrong Answer,876,512,0.58447
E,Compile Error,Wrong Answer,Compile Error,181,122,0.67403
E,Compile Error,Compile Error,Wrong Answer,1600,916,0.5725
E,Compile Error,Wrong Answer,Accepted,875,875,1.0
E,Compile Error,Runtime Error,Accepted,164,164,1.0
E,Compile Error,Wrong Answer,Time Limit Exceeded,150,82,0.54667
E,Compile Error,Time Limit Exceeded,Wrong Answer,132,77,0.58333
E,Compile Error,Runtime Error,Time Limit Exceeded,46,26,0.56522
E,Compile Error,Time Limit Exceeded,Runtime Error,35,27,0.77143
E,Compile Error,Time Limit Exceeded,Compile Error,48,23,0.47917
E,Compile Error,Time Limit Exceeded,Accepted,161,161,1.0
