group,RJ_pattern,resolution_time_sec
G5,Compile Error+Runtime Error+Time Limit Exceeded,2700
G5,Compile Error+Runtime Error+Time Limit Exceeded,1486
G5,Compile Error+Runtime Error+Time Limit Exceeded,1482
G5,Compile Error+Runtime Error+Time Limit Exceeded,1696
G5,Compile Error+Runtime Error+Time Limit Exceeded,1707
G5,Compile Error+Runtime Error+Time Limit Exceeded,11828
G5,Compile Error+Runtime Error+Time Limit Exceeded,14802
G5,Compile Error+Runtime Error+Time Limit Exceeded,753
G5,Compile Error+Runtime Error+Time Limit Exceeded,2328
G5,Compile Error+Runtime Error+Time Limit Exceeded,3423
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,10944
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,8807
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,10557
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,5559
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,17158
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,5257
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,23102
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,3846
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,7438
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,3915
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,2267
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,7850
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,19175
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,7397
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,4486
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,6686
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,9340
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,2865
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,5852
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,30394
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,3027
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,6679
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,4815
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,4146
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,3487
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,865
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,1615
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,7959
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,968
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,2067
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,16730
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,3402
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,2479
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,6210
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,1036
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,20610
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,19438
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,23497
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,4331
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,27933
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,38751
G5,Compile Error+Runtime Error+Time Limit Exceeded+Wrong Answer,2266
G5,Compile Error+Runtime Error+Wrong Answer,5183
G5,Compile Error+Runtime Error+Wrong Answer,2471
G5,Compile Error+Runtime Error+Wrong Answer,1090
G5,Compile Error+Runtime Error+Wrong Answer,7181
G5,Compile Error+Runtime Error+Wrong Answer,5603
G5,Compile Error+Runtime Error+Wrong Answer,1791
G5,Compile Error+Runtime Error+Wrong Answer,2881
G5,Compile Error+Runtime Error+Wrong Answer,1543
G5,Compile Error+Runtime Error+Wrong Answer,887
G5,Compile Error+Runtime Error+Wrong Answer,2825
G5,Compile Error+Runtime Error+Wrong Answer,7348
G5,Compile Error+Runtime Error+Wrong Answer,1739
G5,Compile Error+Runtime Error+Wrong Answer,4653
G5,Compile Error+Runtime Error+Wrong Answer,4278
G5,Compile Error+Runtime Error+Wrong Answer,5723
G5,Compile Error+Runtime Error+Wrong Answer,2247
G5,Compile Error+Runtime Error+Wrong Answer,34738
G5,Compile Error+Runtime Error+Wrong Answer,8839
G5,Compile Error+Runtime Error+Wrong Answer,4393
G5,Compile Error+Runtime Error+Wrong Answer,4995
G5,Compile Error+Runtime Error+Wrong Answer,21684
G5,Compile Error+Runtime Error+Wrong Answer,7380
G5,Compile Error+Runtime Error+Wrong Answer,6857
G5,Compile Error+Runtime Error+Wrong Answer,19462
G5,Compile Error+Runtime Error+Wrong Answer,1940
G5,Compile Error+Runtime Error+Wrong Answer,15878
G5,Compile Error+Runtime Error+Wrong Answer,2655
G5,Compile Error+Runtime Error+Wrong Answer,6178
G5,Compile Error+Runtime Error+Wrong Answer,3415
G5,Compile Error+Runtime Error+Wrong Answer,7997
G5,Compile Error+Runtime Error+Wrong Answer,2359
G5,Compile Error+Runtime Error+Wrong Answer,1736
G5,Compile Error+Runtime Error+Wrong Answer,2692
G5,Compile Error+Runtime Error+Wrong Answer,18171
G5,Compile Error+Runtime Error+Wrong Answer,1156
G5,Compile Error+Runtime Error+Wrong Answer,2103
G5,Compile Error+Runtime Error+Wrong Answer,26651
G5,Compile Error+Runtime Error+Wrong Answer,2887
G5,Compile Error+Runtime Error+Wrong Answer,911
G5,Compile Error+Runtime Error+Wrong Answer,8487
G5,Compile Error+Runtime Error+Wrong Answer,2889
G5,Compile Error+Runtime Error+Wrong Answer,550
G5,Compile Error+Runtime Error+Wrong Answer,2475
G5,Compile Error+Runtime Error+Wrong Answer,1508
G5,Compile Error+Runtime Error+Wrong Answer,24315
G5,Compile Error+Runtime Error+Wrong Answer,921
G5,Compile Error+Runtime Error+Wrong Answer,1627
G5,Compile Error+Runtime Error+Wrong Answer,1225
G5,Compile Error+Runtime Error+Wrong Answer,162
G5,Compile Error+Runtime Error+Wrong Answer,24741
G5,Compile Error+Runtime Error+Wrong Answer,3343
G5,Compile Error+Runtime Error+Wrong Answer,21618
G5,Compile Error+Runtime Error+Wrong Answer,2494
G5,Compile Error+Runtime Error+Wrong Answer,3275
G5,Compile Error+Runtime Error+Wrong Answer,3823
G5,Compile Error+Runtime Error+Wrong Answer,2771
G5,Compile Error+Runtime Error+Wrong Answer,1259
G5,Compile Error+Runtime Error+Wrong Answer,1710
G5,Compile Error+Runtime Error+Wrong Answer,17809
G5,Compile Error+Runtime Error+Wrong Answer,1972
G5,Compile Error+Runtime Error+Wrong Answer,2711
G5,Compile Error+Runtime Error+Wrong Answer,3065
G5,Compile Error+Runtime Error+Wrong Answer,1203
G5,Compile Error+Runtime Error+Wrong Answer,1368
G5,Compile Error+Runtime Error+Wrong Answer,4498
G5,Compile Error+Runtime Error+Wrong Answer,34669
G5,Compile Error+Runtime Error+Wrong Answer,5903
G5,Compile Error+Runtime Error+Wrong Answer,14267
G5,Compile Error+Runtime Error+Wrong Answer,28019
G5,Compile Error+Runtime Error+Wrong Answer,13698
G5,Compile Error+Runtime Error+Wrong Answer,2974
G5,Compile Error+Runtime Error+Wrong Answer,1870
G5,Compile Error+Runtime Error+Wrong Answer,1207
G5,Compile Error+Runtime Error+Wrong Answer,16448
G5,Compile Error+Runtime Error+Wrong Answer,5125
G5,Compile Error+Runtime Error+Wrong Answer,738
G5,Compile Error+Runtime Error+Wrong Answer,989
G5,Compile Error+Runtime Error+Wrong Answer,609
G5,Compile Error+Runtime Error+Wrong Answer,2376
G5,Compile Error+Runtime Error+Wrong Answer,13568
G5,Compile Error+Runtime Error+Wrong Answer,3340
G5,Compile Error+Runtime Error+Wrong Answer,7496
G5,Compile Error+Runtime Error+Wrong Answer,1690
G5,Compile Error+Runtime Error+Wrong Answer,6831
G5,Compile Error+Runtime Error+Wrong Answer,4450
G5,Compile Error+Runtime Error+Wrong Answer,2587
G5,Compile Error+Runtime Error+Wrong Answer,5783
G5,Compile Error+Runtime Error+Wrong Answer,2786
G5,Compile Error+Runtime Error+Wrong Answer,1659
G5,Compile Error+Runtime Error+Wrong Answer,861
G5,Compile Error+Time Limit Exceeded,1729
G5,Compile Error+Time Limit Exceeded,5443
G5,Compile Error+Time Limit Exceeded,4899
G5,Compile Error+Time Limit Exceeded,1216
G5,Compile Error+Time Limit Exceeded,678
G5,Compile Error+Time Limit Exceeded,377
G5,Compile Error+Time Limit Exceeded,391
G5,Compile Error+Time Limit Exceeded,431
G5,Compile Error+Time Limit Exceeded,4383
G5,Compile Error+Time Limit Exceeded,2292
G5,Compile Error+Time Limit Exceeded,1439
G5,Compile Error+Time Limit Exceeded,12352
G5,Compile Error+Time Limit Exceeded,4159
G5,Compile Error+Time Limit Exceeded,294
G5,Compile Error+Time Limit Exceeded,4452
G5,Compile Error+Time Limit Exceeded,2024
G5,Compile Error+Time Limit Exceeded,1430
G5,Compile Error+Time Limit Exceeded,14158
G5,Compile Error+Time Limit Exceeded,420
G5,Compile Error+Time Limit Exceeded,3088
G5,Compile Error+Time Limit Exceeded,3449
G5,Compile Error+Time Limit Exceeded,2115
G5,Compile Error+Time Limit Exceeded,4764
G5,Compile Error+Time Limit Exceeded,272
G5,Compile Error+Time Limit Exceeded,1565
G5,Compile Error+Time Limit Exceeded,428
G5,Compile Error+Time Limit Exceeded,9627
G5,Compile Error+Time Limit Exceeded,911
G5,Compile Error+Time Limit Exceeded,3334
G5,Compile Error+Time Limit Exceeded,2428
G5,Compile Error+Time Limit Exceeded,3110
G5,Compile Error+Time Limit Exceeded,1008
G5,Compile Error+Time Limit Exceeded,1636
G5,Compile Error+Time Limit Exceeded,4182
G5,Compile Error+Time Limit Exceeded,1132
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2080
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2434
G5,Compile Error+Time Limit Exceeded+Wrong Answer,5729
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1783
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2540
G5,Compile Error+Time Limit Exceeded+Wrong Answer,22424
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2157
G5,Compile Error+Time Limit Exceeded+Wrong Answer,9097
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2826
G5,Compile Error+Time Limit Exceeded+Wrong Answer,5962
G5,Compile Error+Time Limit Exceeded+Wrong Answer,6097
G5,Compile Error+Time Limit Exceeded+Wrong Answer,8816
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3819
G5,Compile Error+Time Limit Exceeded+Wrong Answer,21270
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1755
G5,Compile Error+Time Limit Exceeded+Wrong Answer,9387
G5,Compile Error+Time Limit Exceeded+Wrong Answer,19601
G5,Compile Error+Time Limit Exceeded+Wrong Answer,5043
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1520
G5,Compile Error+Time Limit Exceeded+Wrong Answer,356
G5,Compile Error+Time Limit Exceeded+Wrong Answer,855
G5,Compile Error+Time Limit Exceeded+Wrong Answer,8054
G5,Compile Error+Time Limit Exceeded+Wrong Answer,34125
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2497
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3031
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3227
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3782
G5,Compile Error+Time Limit Exceeded+Wrong Answer,41212
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1297
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3126
G5,Compile Error+Time Limit Exceeded+Wrong Answer,20126
G5,Compile Error+Time Limit Exceeded+Wrong Answer,4556
G5,Compile Error+Time Limit Exceeded+Wrong Answer,548
G5,Compile Error+Time Limit Exceeded+Wrong Answer,4853
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2503
G5,Compile Error+Time Limit Exceeded+Wrong Answer,12783
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2250
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1892
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2295
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2106
G5,Compile Error+Time Limit Exceeded+Wrong Answer,11686
G5,Compile Error+Time Limit Exceeded+Wrong Answer,4744
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2848
G5,Compile Error+Time Limit Exceeded+Wrong Answer,5531
G5,Compile Error+Time Limit Exceeded+Wrong Answer,8349
G5,Compile Error+Time Limit Exceeded+Wrong Answer,973
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1908
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2090
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2495
G5,Compile Error+Time Limit Exceeded+Wrong Answer,6854
G5,Compile Error+Time Limit Exceeded+Wrong Answer,518
G5,Compile Error+Time Limit Exceeded+Wrong Answer,33495
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1588
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2164
G5,Compile Error+Time Limit Exceeded+Wrong Answer,27003
G5,Compile Error+Time Limit Exceeded+Wrong Answer,6886
G5,Compile Error+Time Limit Exceeded+Wrong Answer,1868
G5,Compile Error+Time Limit Exceeded+Wrong Answer,6994
G5,Compile Error+Time Limit Exceeded+Wrong Answer,5068
G5,Compile Error+Time Limit Exceeded+Wrong Answer,2267
G5,Compile Error+Time Limit Exceeded+Wrong Answer,382
G5,Compile Error+Time Limit Exceeded+Wrong Answer,3149
G5,Compile Error+Time Limit Exceeded+Wrong Answer,7586
G5,Compile Error+Time Limit Exceeded+Wrong Answer,15236
G5,Compile Error+Time Limit Exceeded+Wrong Answer,433
G5,Compile Error+Wrong Answer,1247
G5,Compile Error+Wrong Answer,1101
G5,Compile Error+Wrong Answer,875
G5,Compile Error+Wrong Answer,242
G5,Compile Error+Wrong Answer,1045
G5,Compile Error+Wrong Answer,1970
G5,Compile Error+Wrong Answer,8855
G5,Compile Error+Wrong Answer,4032
G5,Compile Error+Wrong Answer,820
G5,Compile Error+Wrong Answer,1027
G5,Compile Error+Wrong Answer,3668
G5,Compile Error+Wrong Answer,663
G5,Compile Error+Wrong Answer,2713
G5,Compile Error+Wrong Answer,4995
G5,Compile Error+Wrong Answer,1469
G5,Compile Error+Wrong Answer,1116
G5,Compile Error+Wrong Answer,3951
G5,Compile Error+Wrong Answer,659
G5,Compile Error+Wrong Answer,251
G5,Compile Error+Wrong Answer,557
G5,Compile Error+Wrong Answer,1042
G5,Compile Error+Wrong Answer,168
G5,Compile Error+Wrong Answer,2375
G5,Compile Error+Wrong Answer,2994
G5,Compile Error+Wrong Answer,1220
G5,Compile Error+Wrong Answer,1655
G5,Compile Error+Wrong Answer,903
G5,Compile Error+Wrong Answer,2274
G5,Compile Error+Wrong Answer,982
G5,Compile Error+Wrong Answer,559
G5,Compile Error+Wrong Answer,661
G5,Compile Error+Wrong Answer,4567
G5,Compile Error+Wrong Answer,3549
G5,Compile Error+Wrong Answer,1496
G5,Compile Error+Wrong Answer,1170
G5,Compile Error+Wrong Answer,1699
G5,Compile Error+Wrong Answer,463
G5,Compile Error+Wrong Answer,398
G5,Compile Error+Wrong Answer,441
G5,Compile Error+Wrong Answer,2208
G5,Compile Error+Wrong Answer,441
G5,Compile Error+Wrong Answer,659
G5,Compile Error+Wrong Answer,6360
G5,Compile Error+Wrong Answer,1855
G5,Compile Error+Wrong Answer,125
G5,Compile Error+Wrong Answer,855
G5,Compile Error+Wrong Answer,898
G5,Compile Error+Wrong Answer,1269
G5,Compile Error+Wrong Answer,214
G5,Compile Error+Wrong Answer,1432
G5,Compile Error+Wrong Answer,994
G5,Compile Error+Wrong Answer,3294
G5,Compile Error+Wrong Answer,584
G5,Compile Error+Wrong Answer,2920
G5,Compile Error+Wrong Answer,1610
G5,Compile Error+Wrong Answer,263
G5,Compile Error+Wrong Answer,1525
G5,Compile Error+Wrong Answer,463
G5,Compile Error+Wrong Answer,243
G5,Compile Error+Wrong Answer,12082
G5,Compile Error+Wrong Answer,423
G5,Compile Error+Wrong Answer,507
G5,Compile Error+Wrong Answer,10237
G5,Compile Error+Wrong Answer,3338
G5,Compile Error+Wrong Answer,826
G5,Compile Error+Wrong Answer,242
G5,Compile Error+Wrong Answer,902
G5,Compile Error+Wrong Answer,10342
G5,Compile Error+Wrong Answer,1695
G5,Compile Error+Wrong Answer,11360
G5,Compile Error+Wrong Answer,29183
G5,Compile Error+Wrong Answer,22229
G5,Compile Error+Wrong Answer,5928
G5,Compile Error+Wrong Answer,1658
G5,Compile Error+Wrong Answer,1728
G5,Compile Error+Wrong Answer,26289
G5,Compile Error+Wrong Answer,251
G5,Compile Error+Wrong Answer,425
G5,Compile Error+Wrong Answer,15900
G5,Compile Error+Wrong Answer,2857
G5,Compile Error+Wrong Answer,94
G5,Compile Error+Wrong Answer,470
G5,Compile Error+Wrong Answer,772
G5,Compile Error+Wrong Answer,450
G5,Compile Error+Wrong Answer,82
G5,Compile Error+Wrong Answer,325
G5,Compile Error+Wrong Answer,556
G5,Compile Error+Wrong Answer,487
G5,Compile Error+Wrong Answer,1742
G5,Compile Error+Wrong Answer,14660
G5,Compile Error+Wrong Answer,8225
G5,Compile Error+Wrong Answer,416
G5,Compile Error+Wrong Answer,1127
G5,Compile Error+Wrong Answer,529
G5,Compile Error+Wrong Answer,4451
G5,Compile Error+Wrong Answer,1096
G5,Compile Error+Wrong Answer,4178
G5,Compile Error+Wrong Answer,4311
G5,Compile Error+Wrong Answer,147
G5,Compile Error+Wrong Answer,1202
G5,Compile Error+Wrong Answer,256
G5,Compile Error+Wrong Answer,568
G5,Compile Error+Wrong Answer,1000
G5,Compile Error+Wrong Answer,1716
G5,Compile Error+Wrong Answer,1580
G5,Compile Error+Wrong Answer,1278
G5,Compile Error+Wrong Answer,1528
G5,Compile Error+Wrong Answer,11735
G5,Compile Error+Wrong Answer,215
G5,Compile Error+Wrong Answer,34878
G5,Compile Error+Wrong Answer,3561
G5,Compile Error+Wrong Answer,229
G5,Compile Error+Wrong Answer,1178
G5,Compile Error+Wrong Answer,3123
G5,Compile Error+Wrong Answer,4043
G5,Compile Error+Wrong Answer,1727
G5,Compile Error+Wrong Answer,2018
G5,Compile Error+Wrong Answer,708
G5,Compile Error+Wrong Answer,2018
G5,Compile Error+Wrong Answer,16737
G5,Compile Error+Wrong Answer,1338
G5,Compile Error+Wrong Answer,36256
G5,Compile Error+Wrong Answer,14109
G5,Compile Error+Wrong Answer,2122
G5,Compile Error+Wrong Answer,177
G5,Compile Error+Wrong Answer,1076
G5,Compile Error+Wrong Answer,18041
G5,Compile Error+Wrong Answer,572
G5,Compile Error+Wrong Answer,53
G5,Compile Error+Wrong Answer,20154
G5,Compile Error+Wrong Answer,225
G5,Compile Error+Wrong Answer,255
G5,Compile Error+Wrong Answer,7670
G5,Compile Error+Wrong Answer,8017
G5,Compile Error+Wrong Answer,1183
G5,Compile Error+Wrong Answer,9793
G5,Compile Error+Wrong Answer,249
G5,Compile Error+Wrong Answer,499
G5,Compile Error+Wrong Answer,139
G5,Compile Error+Wrong Answer,498
G5,Compile Error+Wrong Answer,7974
