id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p02685,AtCoder Beginner Contest 167 - Colorful Blocks,AtCoder,2000.0,1048576.0,E,,
p02686,AtCoder Beginner Contest 167 - Bracket Sequencing,AtCoder,2000.0,1048576.0,F,,
p02687,AtCoder Beginner Contest 166 - A?C,AtCoder,2000.0,1048576.0,A,,
p02688,AtCoder Beginner Contest 166 - Trick or Treat,AtCoder,2000.0,1048576.0,B,,
p02689,AtCoder Beginner Contest 166 - Peaks,AtCoder,2000.0,1048576.0,C,,
p02690,AtCoder Beginner Contest 166 - I hate Factorization,AtCoder,2000.0,1048576.0,D,,
p02691,AtCoder Beginner Contest 166 - This Message Will Self-Destruct in 5s,AtCoder,2000.0,1048576.0,E,,
p02692,AtCoder Beginner Contest 166 - Three Variables Game,AtCoder,2000.0,1048576.0,F,,
p02693,AtCoder Beginner Contest 165 - We Love Golf,AtCoder,2000.0,1048576.0,A,,
p02694,AtCoder Beginner Contest 165 - 1%,AtCoder,2000.0,1048576.0,B,,
p02695,AtCoder Beginner Contest 165 - Many Requirements,AtCoder,2000.0,1048576.0,C,,
p02696,AtCoder Beginner Contest 165 - Floor Function,AtCoder,2000.0,1048576.0,D,,
p02697,AtCoder Beginner Contest 165 - Rotation Matching,AtCoder,2000.0,1048576.0,E,,
p02698,AtCoder Beginner Contest 165 - LIS on Tree,AtCoder,2000.0,1048576.0,F,,
p02699,AtCoder Beginner Contest 164 - Sheep and Wolves,AtCoder,2000.0,1048576.0,A,,
p02700,AtCoder Beginner Contest 164 - Battle,AtCoder,2000.0,1048576.0,B,,
p02701,AtCoder Beginner Contest 164 - gacha,AtCoder,2000.0,1048576.0,C,,
p02702,AtCoder Beginner Contest 164 - Multiple of 2019,AtCoder,2000.0,1048576.0,D,,
p02703,AtCoder Beginner Contest 164 - Two Currencies,AtCoder,2000.0,1048576.0,E,,
p02704,AtCoder Beginner Contest 164 - I hate Matrix Construction,AtCoder,2000.0,1048576.0,F,,
p02705,AtCoder Beginner Contest 163 - Circle Pond,AtCoder,2000.0,1048576.0,A,,
p02706,AtCoder Beginner Contest 163 - Homework,AtCoder,2000.0,1048576.0,B,,
p02707,AtCoder Beginner Contest 163 - management,AtCoder,2000.0,1048576.0,C,,
p02708,AtCoder Beginner Contest 163 - Sum of Large Numbers,AtCoder,2000.0,1048576.0,D,,
p02709,AtCoder Beginner Contest 163 - Active Infants,AtCoder,2000.0,1048576.0,E,,
p02710,AtCoder Beginner Contest 163 - path pass i,AtCoder,2000.0,1048576.0,F,,
p02711,AtCoder Beginner Contest 162 - Lucky 7,AtCoder,2000.0,1048576.0,A,,
p02712,AtCoder Beginner Contest 162 - FizzBuzz Sum,AtCoder,2000.0,1048576.0,B,,
p02713,AtCoder Beginner Contest 162 - Sum of gcd of Tuples (Easy),AtCoder,2000.0,1048576.0,C,,
p02714,AtCoder Beginner Contest 162 - RGB Triplets,AtCoder,2000.0,1048576.0,D,,
p02715,AtCoder Beginner Contest 162 - Sum of gcd of Tuples (Hard),AtCoder,2000.0,1048576.0,E,,
p02716,AtCoder Beginner Contest 162 - Select Half,AtCoder,2000.0,1048576.0,F,,
p02717,AtCoder Beginner Contest 161 - ABC Swap,AtCoder,2000.0,1048576.0,A,,
p02718,AtCoder Beginner Contest 161 - Popular Vote,AtCoder,2000.0,1048576.0,B,,
p02719,AtCoder Beginner Contest 161 - Replacing Integer,AtCoder,2000.0,1048576.0,C,,
p02720,AtCoder Beginner Contest 161 - Lunlun Number,AtCoder,2000.0,1048576.0,D,,
p02721,AtCoder Beginner Contest 161 - Yutori,AtCoder,2000.0,1048576.0,E,,
p02722,AtCoder Beginner Contest 161 - Division or Subtraction,AtCoder,2000.0,1048576.0,F,,
p02723,AtCoder Beginner Contest 160 - Coffee,AtCoder,2000.0,1048576.0,A,,
p02724,AtCoder Beginner Contest 160 - Golden Coins,AtCoder,2000.0,1048576.0,B,,
p02725,AtCoder Beginner Contest 160 - Traveling Salesman around Lake,AtCoder,2000.0,1048576.0,C,,
p02726,AtCoder Beginner Contest 160 - Line++,AtCoder,2000.0,1048576.0,D,,
p02727,AtCoder Beginner Contest 160 - Red and Green Apples,AtCoder,2000.0,1048576.0,E,,
p02728,AtCoder Beginner Contest 160 - Distributing Integers,AtCoder,3000.0,1048576.0,F,,
p02729,AtCoder Beginner Contest 159 - The Number of Even Pairs,AtCoder,2000.0,1048576.0,A,,
p02730,AtCoder Beginner Contest 159 - String Palindrome,AtCoder,2000.0,1048576.0,B,,
p02731,AtCoder Beginner Contest 159 - Maximum Volume,AtCoder,2000.0,1048576.0,C,,
p02732,AtCoder Beginner Contest 159 - Banned K,AtCoder,2000.0,1048576.0,D,,
p02733,AtCoder Beginner Contest 159 - Dividing Chocolate,AtCoder,2000.0,1048576.0,E,,
p02734,AtCoder Beginner Contest 159 - Knapsack for All Segments,AtCoder,2000.0,1048576.0,F,,
p02753,AtCoder Beginner Contest 158 - Station and Bus,AtCoder,2000.0,1048576.0,A,,
p02754,AtCoder Beginner Contest 158 - Count Balls,AtCoder,2000.0,1048576.0,B,,
p02755,AtCoder Beginner Contest 158 - Tax Increase,AtCoder,2000.0,1048576.0,C,,
p02756,AtCoder Beginner Contest 158 - String Formation,AtCoder,2000.0,1048576.0,D,,
p02757,AtCoder Beginner Contest 158 - Divisible Substring,AtCoder,2000.0,1048576.0,E,,
p02758,AtCoder Beginner Contest 158 - Removing Robots,AtCoder,2000.0,1048576.0,F,,
p02759,AtCoder Beginner Contest 157 - Duplex Printing,AtCoder,2000.0,1048576.0,A,,
p02760,AtCoder Beginner Contest 157 - Bingo,AtCoder,2000.0,1048576.0,B,,
p02761,AtCoder Beginner Contest 157 - Guess The Number,AtCoder,2000.0,1048576.0,C,,
p02762,AtCoder Beginner Contest 157 - Friend Suggestions,AtCoder,2000.0,1048576.0,D,,
p02763,AtCoder Beginner Contest 157 - Simple String Queries,AtCoder,2000.0,1048576.0,E,,
p02764,AtCoder Beginner Contest 157 - Yakiniku Optimization Problem,AtCoder,2000.0,1048576.0,F,,
p02765,AtCoder Beginner Contest 156 - Beginner,AtCoder,2000.0,1048576.0,A,,
p02766,AtCoder Beginner Contest 156 - Digits,AtCoder,2000.0,1048576.0,B,,
p02767,AtCoder Beginner Contest 156 - Rally,AtCoder,2000.0,1048576.0,C,,
p02768,AtCoder Beginner Contest 156 - Bouquet,AtCoder,2000.0,1048576.0,D,,
p02769,AtCoder Beginner Contest 156 - Roaming,AtCoder,2000.0,1048576.0,E,,
p02770,AtCoder Beginner Contest 156 - Modularness,AtCoder,2000.0,1048576.0,F,,
p02771,AtCoder Beginner Contest 155 - Poor,AtCoder,2000.0,1048576.0,A,,
p02772,AtCoder Beginner Contest 155 - Papers  Please,AtCoder,2000.0,1048576.0,B,,
p02773,AtCoder Beginner Contest 155 - Poll,AtCoder,2000.0,1048576.0,C,,
p02774,AtCoder Beginner Contest 155 - Pairs,AtCoder,2000.0,1048576.0,D,,
p02775,AtCoder Beginner Contest 155 - Payment,AtCoder,2000.0,1048576.0,E,,
p02776,AtCoder Beginner Contest 155 - Perils in Parallel,AtCoder,2000.0,1048576.0,F,,
p02777,AtCoder Beginner Contest 154 - Remaining Balls,AtCoder,2000.0,1048576.0,A,,
p02778,AtCoder Beginner Contest 154 - I miss you...,AtCoder,2000.0,1048576.0,B,,
p02779,AtCoder Beginner Contest 154 - Distinct or Not,AtCoder,2000.0,1048576.0,C,,
p02780,AtCoder Beginner Contest 154 - Dice in Line,AtCoder,2000.0,1048576.0,D,,
p02781,AtCoder Beginner Contest 154 - Almost Everywhere Zero,AtCoder,2000.0,1048576.0,E,,
p02782,AtCoder Beginner Contest 154 - Many Many Paths,AtCoder,2000.0,1048576.0,F,,
p02783,AtCoder Beginner Contest 153 - Serval vs Monster,AtCoder,2000.0,1048576.0,A,,
p02784,AtCoder Beginner Contest 153 - Common Raccoon vs Monster,AtCoder,2000.0,1048576.0,B,,
p02785,AtCoder Beginner Contest 153 - Fennec vs Monster,AtCoder,2000.0,1048576.0,C,,
p02786,AtCoder Beginner Contest 153 - Caracal vs Monster,AtCoder,2000.0,1048576.0,D,,
p02787,AtCoder Beginner Contest 153 - Crested Ibis vs Monster,AtCoder,2000.0,1048576.0,E,,
p02788,AtCoder Beginner Contest 153 - Silver Fox vs Monster,AtCoder,2000.0,1048576.0,F,,
p02789,AtCoder Beginner Contest 152 - AC or WA,AtCoder,2000.0,1048576.0,A,,
p02790,AtCoder Beginner Contest 152 - Comparing Strings,AtCoder,2000.0,1048576.0,B,,
p02791,AtCoder Beginner Contest 152 - Low Elements,AtCoder,2000.0,1048576.0,C,,
p02792,AtCoder Beginner Contest 152 - Handstand 2,AtCoder,2000.0,1048576.0,D,,
p02793,AtCoder Beginner Contest 152 - Flatten,AtCoder,2000.0,1048576.0,E,,
p02794,AtCoder Beginner Contest 152 - Tree and Constraints,AtCoder,4000.0,1048576.0,F,,
p02801,AtCoder Beginner Contest 151 - Next Alphabet,AtCoder,2000.0,1048576.0,A,,
p02802,AtCoder Beginner Contest 151 - Welcome to AtCoder,AtCoder,2000.0,1048576.0,C,,
p02803,AtCoder Beginner Contest 151 - Maze Master,AtCoder,2000.0,1048576.0,D,,
p02804,AtCoder Beginner Contest 151 - Max-Min Sums,AtCoder,2000.0,1048576.0,E,,
p02805,AtCoder Beginner Contest 151 - Enclose All,AtCoder,2000.0,1048576.0,F,,
p02811,AtCoder Beginner Contest 150 - 500 Yen Coins,AtCoder,2000.0,1048576.0,A,,
p02812,AtCoder Beginner Contest 150 - Count ABC,AtCoder,2000.0,1048576.0,B,,
p02813,AtCoder Beginner Contest 150 - Count Order,AtCoder,2000.0,1048576.0,C,,
p02814,AtCoder Beginner Contest 150 - Semi Common Multiple,AtCoder,2000.0,1048576.0,D,,
p02815,AtCoder Beginner Contest 150 - Change a Little Bit,AtCoder,2000.0,1048576.0,E,,
p02816,AtCoder Beginner Contest 150 - Xor Shift,AtCoder,2000.0,1048576.0,F,,
p02817,AtCoder Beginner Contest 149 - Strings,AtCoder,2000.0,1048576.0,A,,
p02818,AtCoder Beginner Contest 149 - Greedy Takahashi,AtCoder,2000.0,1048576.0,B,,
p02819,AtCoder Beginner Contest 149 - Next Prime,AtCoder,2000.0,1048576.0,C,,
p02820,AtCoder Beginner Contest 149 - Prediction and Restriction,AtCoder,2000.0,1048576.0,D,,
p02821,AtCoder Beginner Contest 149 - Handshake,AtCoder,2000.0,1048576.0,E,,
p02822,AtCoder Beginner Contest 149 - Surrounded Nodes,AtCoder,2000.0,1048576.0,F,,
p02829,AtCoder Beginner Contest 148 - Round One,AtCoder,2000.0,1048576.0,A,,
p02830,AtCoder Beginner Contest 148 - Strings with the Same Length,AtCoder,2000.0,1048576.0,B,,
p02831,AtCoder Beginner Contest 148 - Snack,AtCoder,2000.0,1048576.0,C,,
p02832,AtCoder Beginner Contest 148 - Brick Break,AtCoder,2000.0,1048576.0,D,,
p02833,AtCoder Beginner Contest 148 - Double Factorial,AtCoder,2000.0,1048576.0,E,,
p02834,AtCoder Beginner Contest 148 - Playing Tag on Tree,AtCoder,2000.0,1048576.0,F,,
p02835,AtCoder Beginner Contest 147 - Blackjack,AtCoder,2000.0,1048576.0,A,,
p02836,AtCoder Beginner Contest 147 - Palindrome-philia,AtCoder,2000.0,1048576.0,B,,
p02837,AtCoder Beginner Contest 147 - HonestOrUnkind2,AtCoder,2000.0,1048576.0,C,,
p02838,AtCoder Beginner Contest 147 - Xor Sum 4,AtCoder,2000.0,1048576.0,D,,
p02839,AtCoder Beginner Contest 147 - Balanced Path,AtCoder,2000.0,1048576.0,E,,
p02840,AtCoder Beginner Contest 147 - Sum Difference,AtCoder,2000.0,1048576.0,F,,
p02841,Sumitomo Mitsui Trust Bank Programming Contest 2019 - November 30,AtCoder,2000,1048576,A,,
p02842,Sumitomo Mitsui Trust Bank Programming Contest 2019 - Tax Rate,AtCoder,2000,1048576,B,,
p02843,Sumitomo Mitsui Trust Bank Programming Contest 2019 - 100 to 105,AtCoder,2000,1048576,C,,
p02844,Sumitomo Mitsui Trust Bank Programming Contest 2019 - Lucky PIN,AtCoder,2000,1048576,D,,
p02845,Sumitomo Mitsui Trust Bank Programming Contest 2019 - Colorful Hats 2,AtCoder,2000,1048576,E,,
p02846,Sumitomo Mitsui Trust Bank Programming Contest 2019 - Interval Running,AtCoder,2000,1048576,F,,
p02847,AtCoder Beginner Contest 146 - Can't Wait for Holiday,AtCoder,2000.0,1048576.0,A,,
p02848,AtCoder Beginner Contest 146 - ROT N,AtCoder,2000.0,1048576.0,B,,
p02849,AtCoder Beginner Contest 146 - Buy an Integer,AtCoder,2000.0,1048576.0,C,,
p02850,AtCoder Beginner Contest 146 - Coloring Edges on Tree,AtCoder,2000.0,1048576.0,D,,
p02851,AtCoder Beginner Contest 146 - Rem of Sum is Num,AtCoder,2000.0,1048576.0,E,,
p02852,AtCoder Beginner Contest 146 - Sugoroku,AtCoder,2000.0,1048576.0,F,,
p02859,AtCoder Beginner Contest 145 - Circle,AtCoder,2000.0,1048576.0,A,,
p02860,AtCoder Beginner Contest 145 - Echo,AtCoder,2000.0,1048576.0,B,,
p02861,AtCoder Beginner Contest 145 - Average Length,AtCoder,2000.0,1048576.0,C,,
p02862,AtCoder Beginner Contest 145 - Knight,AtCoder,2000.0,1048576.0,D,,
p02863,AtCoder Beginner Contest 145 - All-you-can-eat,AtCoder,2000.0,1048576.0,E,,
p02864,AtCoder Beginner Contest 145 - Laminate,AtCoder,2000.0,1048576.0,F,,
p02879,AtCoder Beginner Contest 144 - 9x9,AtCoder,2000.0,1048576.0,A,,
p02880,AtCoder Beginner Contest 144 - 81,AtCoder,2000.0,1048576.0,B,,
p02881,AtCoder Beginner Contest 144 - Walk on Multiplication Table,AtCoder,2000.0,1048576.0,C,,
p02882,AtCoder Beginner Contest 144 - Water Bottle,AtCoder,2000.0,1048576.0,D,,
p02883,AtCoder Beginner Contest 144 - Gluttony,AtCoder,2000.0,1048576.0,E,,
p02884,AtCoder Beginner Contest 144 - Fork in the Road,AtCoder,2000.0,1048576.0,F,,
p02885,AtCoder Beginner Contest 143 - Curtain,AtCoder,2000.0,1048576.0,A,,
p02886,AtCoder Beginner Contest 143 - TAKOYAKI FESTIVAL 2019,AtCoder,2000.0,1048576.0,B,,
p02887,AtCoder Beginner Contest 143 - Slimes,AtCoder,2000.0,1048576.0,C,,
p02888,AtCoder Beginner Contest 143 - Triangles,AtCoder,2000.0,1048576.0,D,,
p02889,AtCoder Beginner Contest 143 - Travel by Car,AtCoder,2000.0,1048576.0,E,,
p02890,AtCoder Beginner Contest 143 - Distinct Numbers,AtCoder,2000.0,1048576.0,F,,
p02897,AtCoder Beginner Contest 142 - Odds of Oddness,AtCoder,2000.0,1048576.0,A,,
p02898,AtCoder Beginner Contest 142 - Roller Coaster,AtCoder,2000.0,1048576.0,B,,
p02899,AtCoder Beginner Contest 142 - Go to School,AtCoder,2000.0,1048576.0,C,,
p02900,AtCoder Beginner Contest 142 - Disjoint Set of Common Divisors,AtCoder,2000.0,1048576.0,D,,
p02901,AtCoder Beginner Contest 142 - Get Everything,AtCoder,2000.0,1048576.0,E,,
p02902,AtCoder Beginner Contest 142 - Pure,AtCoder,2000.0,1048576.0,F,,
p02909,AtCoder Beginner Contest 141 - Weather Prediction,AtCoder,2000.0,1048576.0,A,,
p02910,AtCoder Beginner Contest 141 - Tap Dance,AtCoder,2000.0,1048576.0,B,,
p02911,AtCoder Beginner Contest 141 - Attack Survival,AtCoder,2000.0,1048576.0,C,,
p02912,AtCoder Beginner Contest 141 - Powerful Discount Tickets,AtCoder,2000.0,1048576.0,D,,
p02913,AtCoder Beginner Contest 141 - Who Says a Pun?,AtCoder,2000.0,1048576.0,E,,
p02914,AtCoder Beginner Contest 141 - Xor Sum 3,AtCoder,2000.0,1048576.0,F,,
p02915,AtCoder Beginner Contest 140 - Password,AtCoder,2000.0,1048576.0,A,,
p02916,AtCoder Beginner Contest 140 - Buffet,AtCoder,2000.0,1048576.0,B,,
p02917,AtCoder Beginner Contest 140 - Maximal Value,AtCoder,2000.0,1048576.0,C,,
p02918,AtCoder Beginner Contest 140 - Face Produces Unhappiness,AtCoder,2000.0,1048576.0,D,,
p02919,AtCoder Beginner Contest 140 - Second Sum,AtCoder,2000.0,1048576.0,E,,
p02920,AtCoder Beginner Contest 140 - Many Slimes,AtCoder,2000.0,1048576.0,F,,
p02921,AtCoder Beginner Contest 139 - Tenki,AtCoder,2000.0,1048576.0,A,,
p02922,AtCoder Beginner Contest 139 - Power Socket,AtCoder,2000.0,1048576.0,B,,
p02923,AtCoder Beginner Contest 139 - Lower,AtCoder,2000.0,1048576.0,C,,
p02924,AtCoder Beginner Contest 139 - ModSum,AtCoder,2000.0,1048576.0,D,,
p02925,AtCoder Beginner Contest 139 - League,AtCoder,2000.0,1048576.0,E,,
p02926,AtCoder Beginner Contest 139 - Engines,AtCoder,2000.0,1048576.0,F,,
p02933,AtCoder Beginner Contest 138 - Red or Not,AtCoder,2000.0,1048576.0,A,,
p02934,AtCoder Beginner Contest 138 - Resistors in Parallel,AtCoder,2000.0,1048576.0,B,,
p02935,AtCoder Beginner Contest 138 - Alchemist,AtCoder,2000.0,1048576.0,C,,
p02936,AtCoder Beginner Contest 138 - Ki,AtCoder,2000.0,1048576.0,D,,
p02937,AtCoder Beginner Contest 138 - Strings of Impurity,AtCoder,2000.0,1048576.0,E,,
p02938,AtCoder Beginner Contest 138 - Coincidence,AtCoder,2000.0,1048576.0,F,,
p02945,AtCoder Beginner Contest 137 - +-x,AtCoder,2000.0,1048576.0,A,,
p02946,AtCoder Beginner Contest 137 - One Clue,AtCoder,2000.0,1048576.0,B,,
p02947,AtCoder Beginner Contest 137 - Green Bin,AtCoder,2000.0,1048576.0,C,,
p02948,AtCoder Beginner Contest 137 - Summer Vacation,AtCoder,2000.0,1048576.0,D,,
p02949,AtCoder Beginner Contest 137 - Coins Respawn,AtCoder,2000.0,1048576.0,E,,
p02950,AtCoder Beginner Contest 137 - Polynomial Construction,AtCoder,2000.0,1048576.0,F,,
p02951,AtCoder Beginner Contest 136 - Transfer,AtCoder,2000.0,1048576.0,A,,
p02952,AtCoder Beginner Contest 136 - Uneven Numbers,AtCoder,2000.0,1048576.0,B,,
p02953,AtCoder Beginner Contest 136 - Build Stairs,AtCoder,2000.0,1048576.0,C,,
p02954,AtCoder Beginner Contest 136 - Gathering Children,AtCoder,2000.0,1048576.0,D,,
p02955,AtCoder Beginner Contest 136 - Max GCD,AtCoder,2000.0,1048576.0,E,,
p02956,AtCoder Beginner Contest 136 - Enclosed Points,AtCoder,2000.0,1048576.0,F,,
p02957,AtCoder Beginner Contest 135 - Harmony,AtCoder,2000.0,1048576.0,A,,
p02958,AtCoder Beginner Contest 135 - 0 or 1 Swap,AtCoder,2000.0,1048576.0,B,,
p02959,AtCoder Beginner Contest 135 - City Savers,AtCoder,2000.0,1048576.0,C,,
p02960,AtCoder Beginner Contest 135 - Digits Parade,AtCoder,2000.0,1048576.0,D,,
p02961,AtCoder Beginner Contest 135 - Golf,AtCoder,2000.0,1048576.0,E,,
p02962,AtCoder Beginner Contest 135 - Strings of Eternity,AtCoder,2000.0,1048576.0,F,,
p02969,AtCoder Beginner Contest 134 - Dodecagon,AtCoder,2000.0,1048576.0,A,,
p02970,AtCoder Beginner Contest 134 - Golden Apple,AtCoder,2000.0,1048576.0,B,,
p02971,AtCoder Beginner Contest 134 - Exception Handling,AtCoder,2000.0,1048576.0,C,,
p02972,AtCoder Beginner Contest 134 - Preparing Boxes,AtCoder,2000.0,1048576.0,D,,
p02973,AtCoder Beginner Contest 134 - Sequence Decomposing,AtCoder,2000.0,1048576.0,E,,
p02974,AtCoder Beginner Contest 134 - Permutation Oddness,AtCoder,2000.0,1048576.0,F,,
p02981,AtCoder Beginner Contest 133 - T or T,AtCoder,2000.0,1048576.0,A,,
