id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p02883,AtCoder Beginner Contest 144 - Gluttony,AtCoder,2000.0,1048576.0,,,
p02884,AtCoder Beginner Contest 144 - Fork in the Road,AtCoder,2000.0,1048576.0,,,
p02885,AtCoder Beginner Contest 143 - Curtain,AtCoder,2000.0,1048576.0,,,
p02886,AtCoder Beginner Contest 143 - TAKOYAKI FESTIVAL 2019,AtCoder,2000.0,1048576.0,,,
p02887,AtCoder Beginner Contest 143 - Slimes,AtCoder,2000.0,1048576.0,,,
p02888,AtCoder Beginner Contest 143 - Triangles,AtCoder,2000.0,1048576.0,,,
p02889,AtCoder Beginner Contest 143 - Travel by Car,AtCoder,2000.0,1048576.0,,,
p02890,AtCoder Beginner Contest 143 - Distinct Numbers,AtCoder,2000.0,1048576.0,,,
p02897,AtCoder Beginner Contest 142 - Odds of Oddness,AtCoder,2000.0,1048576.0,,,
p02898,AtCoder Beginner Contest 142 - Roller Coaster,AtCoder,2000.0,1048576.0,,,
p02899,AtCoder Beginner Contest 142 - Go to School,AtCoder,2000.0,1048576.0,,,
p02900,AtCoder Beginner Contest 142 - Disjoint Set of Common Divisors,AtCoder,2000.0,1048576.0,,,
p02901,AtCoder Beginner Contest 142 - Get Everything,AtCoder,2000.0,1048576.0,,,
p02902,AtCoder Beginner Contest 142 - Pure,AtCoder,2000.0,1048576.0,,,
p02909,AtCoder Beginner Contest 141 - Weather Prediction,AtCoder,2000.0,1048576.0,,,
p02910,AtCoder Beginner Contest 141 - Tap Dance,AtCoder,2000.0,1048576.0,,,
p02911,AtCoder Beginner Contest 141 - Attack Survival,AtCoder,2000.0,1048576.0,,,
p02912,AtCoder Beginner Contest 141 - Powerful Discount Tickets,AtCoder,2000.0,1048576.0,,,
p02913,AtCoder Beginner Contest 141 - Who Says a Pun?,AtCoder,2000.0,1048576.0,,,
p02914,AtCoder Beginner Contest 141 - Xor Sum 3,AtCoder,2000.0,1048576.0,,,
p02915,AtCoder Beginner Contest 140 - Password,AtCoder,2000.0,1048576.0,,,
p02916,AtCoder Beginner Contest 140 - Buffet,AtCoder,2000.0,1048576.0,,,
p02917,AtCoder Beginner Contest 140 - Maximal Value,AtCoder,2000.0,1048576.0,,,
p02918,AtCoder Beginner Contest 140 - Face Produces Unhappiness,AtCoder,2000.0,1048576.0,,,
p02919,AtCoder Beginner Contest 140 - Second Sum,AtCoder,2000.0,1048576.0,,,
p02920,AtCoder Beginner Contest 140 - Many Slimes,AtCoder,2000.0,1048576.0,,,
p02921,AtCoder Beginner Contest 139 - Tenki,AtCoder,2000.0,1048576.0,,,
p02922,AtCoder Beginner Contest 139 - Power Socket,AtCoder,2000.0,1048576.0,,,
p02923,AtCoder Beginner Contest 139 - Lower,AtCoder,2000.0,1048576.0,,,
p02924,AtCoder Beginner Contest 139 - ModSum,AtCoder,2000.0,1048576.0,,,
p02925,AtCoder Beginner Contest 139 - League,AtCoder,2000.0,1048576.0,,,
p02926,AtCoder Beginner Contest 139 - Engines,AtCoder,2000.0,1048576.0,,,
p02933,AtCoder Beginner Contest 138 - Red or Not,AtCoder,2000.0,1048576.0,,,
p02934,AtCoder Beginner Contest 138 - Resistors in Parallel,AtCoder,2000.0,1048576.0,,,
p02935,AtCoder Beginner Contest 138 - Alchemist,AtCoder,2000.0,1048576.0,,,
p02936,AtCoder Beginner Contest 138 - Ki,AtCoder,2000.0,1048576.0,,,
p02937,AtCoder Beginner Contest 138 - Strings of Impurity,AtCoder,2000.0,1048576.0,,,
p02938,AtCoder Beginner Contest 138 - Coincidence,AtCoder,2000.0,1048576.0,,,
p02945,AtCoder Beginner Contest 137 - +-x,AtCoder,2000.0,1048576.0,,,
p02946,AtCoder Beginner Contest 137 - One Clue,AtCoder,2000.0,1048576.0,,,
p02947,AtCoder Beginner Contest 137 - Green Bin,AtCoder,2000.0,1048576.0,,,
p02948,AtCoder Beginner Contest 137 - Summer Vacation,AtCoder,2000.0,1048576.0,,,
p02949,AtCoder Beginner Contest 137 - Coins Respawn,AtCoder,2000.0,1048576.0,,,
p02950,AtCoder Beginner Contest 137 - Polynomial Construction,AtCoder,2000.0,1048576.0,,,
p02951,AtCoder Beginner Contest 136 - Transfer,AtCoder,2000.0,1048576.0,,,
p02952,AtCoder Beginner Contest 136 - Uneven Numbers,AtCoder,2000.0,1048576.0,,,
p02953,AtCoder Beginner Contest 136 - Build Stairs,AtCoder,2000.0,1048576.0,,,
p02954,AtCoder Beginner Contest 136 - Gathering Children,AtCoder,2000.0,1048576.0,,,
p02955,AtCoder Beginner Contest 136 - Max GCD,AtCoder,2000.0,1048576.0,,,
p02956,AtCoder Beginner Contest 136 - Enclosed Points,AtCoder,2000.0,1048576.0,,,
p02957,AtCoder Beginner Contest 135 - Harmony,AtCoder,2000.0,1048576.0,,,
p02958,AtCoder Beginner Contest 135 - 0 or 1 Swap,AtCoder,2000.0,1048576.0,,,
p02959,AtCoder Beginner Contest 135 - City Savers,AtCoder,2000.0,1048576.0,,,
p02960,AtCoder Beginner Contest 135 - Digits Parade,AtCoder,2000.0,1048576.0,,,
p02961,AtCoder Beginner Contest 135 - Golf,AtCoder,2000.0,1048576.0,,,
p02962,AtCoder Beginner Contest 135 - Strings of Eternity,AtCoder,2000.0,1048576.0,,,
p02969,AtCoder Beginner Contest 134 - Dodecagon,AtCoder,2000.0,1048576.0,,,
p02970,AtCoder Beginner Contest 134 - Golden Apple,AtCoder,2000.0,1048576.0,,,
p02971,AtCoder Beginner Contest 134 - Exception Handling,AtCoder,2000.0,1048576.0,,,
p02972,AtCoder Beginner Contest 134 - Preparing Boxes,AtCoder,2000.0,1048576.0,,,
p02973,AtCoder Beginner Contest 134 - Sequence Decomposing,AtCoder,2000.0,1048576.0,,,
p02974,AtCoder Beginner Contest 134 - Permutation Oddness,AtCoder,2000.0,1048576.0,,,
p02981,AtCoder Beginner Contest 133 - T or T,AtCoder,2000.0,1048576.0,,,
p02982,AtCoder Beginner Contest 133 - Good Distance,AtCoder,2000.0,1048576.0,,,
p02983,AtCoder Beginner Contest 133 - Remainder Minimization 2019,AtCoder,2000.0,1048576.0,,,
p02984,AtCoder Beginner Contest 133 - Rain Flows into Dams,AtCoder,2000.0,1048576.0,,,
p02985,AtCoder Beginner Contest 133 - Virus Tree 2,AtCoder,2000.0,1048576.0,,,
p02986,AtCoder Beginner Contest 133 - Colorful Tree,AtCoder,4000.0,1048576.0,,,
p02987,AtCoder Beginner Contest 132 - Fifty-Fifty,AtCoder,2000.0,1048576.0,,,
p02988,AtCoder Beginner Contest 132 - Ordinary Number,AtCoder,2000.0,1048576.0,,,
p02989,AtCoder Beginner Contest 132 - Divide the Problems,AtCoder,2000.0,1048576.0,,,
p02990,AtCoder Beginner Contest 132 - Blue and Red Balls,AtCoder,2000.0,1048576.0,,,
p02991,AtCoder Beginner Contest 132 - Hopscotch Addict,AtCoder,2000.0,1048576.0,,,
p02992,AtCoder Beginner Contest 132 - Small Products,AtCoder,2000.0,1048576.0,,,
p02993,AtCoder Beginner Contest 131 - Security,AtCoder,2000.0,1048576.0,,,
p02994,AtCoder Beginner Contest 131 - Bite Eating,AtCoder,2000.0,1048576.0,,,
p02995,AtCoder Beginner Contest 131 - Anti-Division,AtCoder,2000.0,1048576.0,,,
p02996,AtCoder Beginner Contest 131 - Megalomania,AtCoder,2000.0,1048576.0,,,
p02997,AtCoder Beginner Contest 131 - Friendships,AtCoder,2000.0,1048576.0,,,
p02998,AtCoder Beginner Contest 131 - Must Be Rectangular!,AtCoder,2000.0,1048576.0,,,
p02999,AtCoder Beginner Contest 130 - Rounding,AtCoder,2000.0,1048576.0,,,
