difficulty,first_error,from_state,to_state,sessions,ac_sessions,ac_rate
B,Time Limit Exceeded,Runtime Error,Wrong Answer,320,244,0.7625
B,Time Limit Exceeded,Runtime Error,Time Limit Exceeded,158,121,0.76582
B,Time Limit Exceeded,Time Limit Exceeded,Compile Error,345,259,0.75072
B,Time Limit Exceeded,Compile Error,Accepted,193,190,0.98446
B,Time Limit Exceeded,Runtime Error,Runtime Error,249,172,0.69076
B,Time Limit Exceeded,Runtime Error,Accepted,393,392,0.99746
B,Time Limit Exceeded,Compile Error,Time Limit Exceeded,99,66,0.66667
B,Time Limit Exceeded,Compile Error,Compile Error,92,72,0.78261
B,Time Limit Exceeded,Wrong Answer,Compile Error,166,137,0.8253
B,Time Limit Exceeded,Compile Error,Runtime Error,30,24,0.8
B,Time Limit Exceeded,Compile Error,Wrong Answer,180,137,0.76111
B,Time Limit Exceeded,Runtime Error,Compile Error,20,18,0.9
B,Compile Error,Compile Error,Compile Error,10702,8286,0.77425
B,Compile Error,Compile Error,Accepted,23494,23494,1.0
B,Compile Error,Compile Error,Wrong Answer,14456,11239,0.77746
B,Compile Error,Wrong Answer,Wrong Answer,7144,5311,0.74342
B,Compile Error,Wrong Answer,Accepted,10578,10578,1.0
B,Compile Error,Wrong Answer,Compile Error,2385,1776,0.74465
B,Compile Error,Wrong Answer,Runtime Error,474,338,0.71308
B,Compile Error,Runtime Error,Runtime Error,1165,767,0.65837
B,Compile Error,Runtime Error,Accepted,1178,1178,1.0
B,Compile Error,Compile Error,Runtime Error,2524,1766,0.69968
B,Compile Error,Runtime Error,Wrong Answer,839,633,0.75447
B,Compile Error,Runtime Error,Compile Error,531,355,0.66855
B,Compile Error,Compile Error,Time Limit Exceeded,716,512,0.71508
B,Compile Error,Time Limit Exceeded,Accepted,312,312,1.0
B,Compile Error,Time Limit Exceeded,Wrong Answer,305,230,0.7541
B,Compile Error,Time Limit Exceeded,Compile Error,193,136,0.70466
B,Compile Error,Wrong Answer,Time Limit Exceeded,210,153,0.72857
B,Compile Error,Time Limit Exceeded,Time Limit Exceeded,287,197,0.68641
B,Compile Error,Time Limit Exceeded,Runtime Error,35,27,0.77143
B,Compile Error,Runtime Error,Time Limit Exceeded,46,36,0.78261
